City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,biharamulo,TZ,61.39,overcast clouds,-2.6319,31.3089,Annex Lodge
203,barbar,TZ,61.39,overcast clouds,-2.6319,31.3089,Annex Lodge
204,wuhu,CN,53.8,overcast clouds,31.3366,118.3755,JI Hotel Wuhu Pedestrian Street
206,tayu,ID,78.58,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
207,port blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
208,mantua,IT,60.04,broken clouds,45.1667,10.7833,Hotel la Favorita
213,ewa beach,US,78.75,broken clouds,21.3156,-158.0072,Base Lodging
216,rio gallegos,AR,51.85,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
221,broken hill,AU,46.11,clear sky,-31.95,141.4333,Royal Exchange Hotel
222,shaowu,CN,54.93,overcast clouds,27.3409,117.4831,Yijie Express Hotel
223,mattawa,US,65.26,broken clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
224,victoria,HK,64.26,light rain,22.2855,114.1577,Mini Hotel Central
225,port elizabeth,ZA,61.09,clear sky,-33.918,25.5701,39 On Nile Guest House
226,chagda,ZA,61.09,clear sky,-33.918,25.5701,39 On Nile Guest House
228,kodiak,US,42.31,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
229,requena,ES,60.87,broken clouds,39.4883,-1.1004,Hotel Avenida
230,weligama,LK,79.05,overcast clouds,5.9667,80.4167,Weligama Bay Resort
231,arvika,SE,45.21,overcast clouds,59.6553,12.5852,Clarion Collection Hotel Bristol
234,shobara,JP,40.51,few clouds,34.85,133.0167,Kampo-no-sato Shobara
235,sambava,MG,77.5,broken clouds,-14.2667,50.1667,Melrose
236,coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hotel San Juan
237,stornoway,GB,49.96,overcast clouds,58.2093,-6.3865,Caladh Inn
238,tarudant,GB,49.96,overcast clouds,58.2093,-6.3865,Caladh Inn
240,norman wells,CA,48.24,broken clouds,65.282,-126.8329,Heritage Hotel
241,chuy,UY,61.77,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
242,ceres,US,75.52,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
245,shingu,JP,48.04,overcast clouds,33.7333,135.9833,Shingu UI Hotel
246,samalaeulu,JP,48.04,overcast clouds,33.7333,135.9833,Shingu UI Hotel
249,pemberton,CA,56.89,overcast clouds,50.3164,-122.8027,Pemberton Valley Lodge
252,half moon bay,US,75.54,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
255,aginskoye,RU,48.47,overcast clouds,51.1,114.53,Кочевник
256,saldanha,ZA,57.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
258,kingsport,US,75.54,overcast clouds,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
260,narok,KE,57.6,overcast clouds,-1.0783,35.8601,OLORROPIL TOWERS
261,theologos,KE,57.6,overcast clouds,-1.0783,35.8601,OLORROPIL TOWERS
262,warqla,KE,57.6,overcast clouds,-1.0783,35.8601,OLORROPIL TOWERS
263,mbuji-mayi,CD,68.7,overcast clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
265,hauterive,FR,56.16,broken clouds,46.0901,3.4459,Aletti Palace Hotel
266,frederico westphalen,BR,73.44,overcast clouds,-27.3592,-53.3944,Hotel Palace Frederico
267,nizhneyansk,BR,73.44,overcast clouds,-27.3592,-53.3944,Hotel Palace Frederico
268,tuatapere,NZ,47.61,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
270,basco,PH,79.0,light rain,20.4487,121.9702,Nathaniel's Lodge
272,hasaki,JP,50.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
273,damghan,IR,59.27,broken clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
277,suleja,NG,75.74,overcast clouds,9.1758,7.1808,Capy Motel
283,musoma,TZ,69.82,broken clouds,-1.5,33.8,New Peninsula Hotel
285,ambilobe,MG,73.63,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
286,ayolas,PY,68.18,overcast clouds,-27.4,-56.9,Hotel Ayolas
287,dahra,DZ,65.59,clear sky,36.2546,0.8519,Ein Mtabol
289,raudeberg,NO,45.27,overcast clouds,61.9875,5.1352,Nordre Silda.
290,barentsburg,NO,45.27,overcast clouds,61.9875,5.1352,Nordre Silda.
291,carahue,CL,56.61,clear sky,-38.7,-73.1667,Hospedaje Familiar
292,tazmalt,DZ,60.39,clear sky,36.3868,4.3989,Hôtel Numédia
293,nunoa,PE,58.66,broken clouds,-14.48,-70.6411,Quechua Experience - Live true tradition
294,vila,PT,47.7,few clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
296,lompoc,US,73.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
299,tres arroyos,AR,53.49,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
301,sitka,US,46.29,overcast clouds,57.0531,-135.33,Westmark Sitka
304,bressanone,IT,52.18,overcast clouds,46.715,11.656,Hotel Löwenhof
305,katakwi,UG,66.43,light rain,1.8911,33.9661,Ebenezer Guest House
306,carson city,US,60.31,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
310,laguna,US,77.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
313,pisco,PE,70.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
314,constitucion,CL,58.17,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
319,solna,SK,55.58,clear sky,49.2231,18.7394,"Holiday Inn Zilina, an IHG Hotel"
321,kahului,US,73.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
323,kamennogorsk,RU,41.56,overcast clouds,60.9545,29.1339,"Serafima, Gostinitsa"
324,inhambane,MZ,68.0,few clouds,-23.865,35.3833,Oceano
325,quatre cocos,MU,75.31,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
327,vryburg,ZA,57.88,clear sky,-26.9566,24.7284,The Times Premier Lodge
328,payakumbuh,ID,69.3,moderate rain,-0.2202,100.6308,Dalimo Homestay
329,lamar,US,78.78,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
331,vestmannaeyjar,IS,45.09,overcast clouds,63.4427,-20.2734,Glamping & Camping
332,grindavik,IS,42.75,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
334,hakkari,TR,47.16,overcast clouds,37.5833,44.1667,Koprucek Koyu Muhtarligi
337,myitkyina,MM,66.4,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
338,hirara,JP,67.95,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
340,faya,SA,66.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
341,ruatoria,SA,66.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
343,pemangkat,ID,79.23,overcast clouds,1.1667,108.9667,Ramah Kost KITA
345,bubaque,GW,77.94,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
346,komsomolskiy,UZ,70.52,scattered clouds,40.4272,71.7189,Ikathouse
347,wanning,CN,70.56,overcast clouds,18.8003,110.3967,Paradise Hotel
349,hualmay,PE,70.09,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
350,sijunjung,ID,72.1,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
351,kristiansund,NO,46.45,broken clouds,63.1115,7.732,Thon Hotels Storgata
352,grants,US,75.43,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
358,mosquera,CO,68.09,broken clouds,4.7059,-74.2302,Hotel SJ
359,tawkar,CO,68.09,broken clouds,4.7059,-74.2302,Hotel SJ
361,peniche,PT,61.29,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
362,port lincoln,AU,58.26,clear sky,-34.7333,135.8667,Port Lincoln Hotel
363,claresholm,CA,58.68,overcast clouds,50.0333,-113.5852,Bluebird Motel
364,buin,CL,71.92,clear sky,-33.7333,-70.75,Paihuen
368,dunedin,NZ,56.8,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
369,cockburn town,TC,78.76,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
373,punta alta,AR,55.56,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
374,san bartolome de tirajana,ES,60.31,few clouds,27.9248,-15.5733,Las Tirajanas
375,miles city,US,56.46,overcast clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
376,praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
377,saint-francois,FR,53.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
378,limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
379,lubango,AO,63.95,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
380,chutung,AO,63.95,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
381,fallon,US,58.91,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
382,sevilla,ES,73.51,clear sky,37.3824,-5.9761,Hotel Sevilla Center
383,erattupetta,IN,76.21,overcast clouds,9.7,76.7833,White Castle Residency
385,shache,CN,61.72,few clouds,38.4167,77.2406,Delong Hotel
388,ketchikan,US,45.41,moderate rain,55.3422,-131.6461,Snow's Cove Lodge
390,fortuna,US,61.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
395,vieste,IT,60.64,overcast clouds,41.8825,16.175,Hotel Falcone
396,ringkobing,DK,45.1,few clouds,56.0901,8.244,Fjordgaarden
397,altay,CN,55.33,broken clouds,47.8667,88.1167,Jinqiao Hotel
398,bohicon,BJ,75.88,light rain,7.1783,2.0667,Hôtel La Majesté
403,pandan,PH,77.27,overcast clouds,14.0453,124.1694,Bonifacio Lodge
404,broome,US,71.71,overcast clouds,42.2506,-75.833,Chenango Valley State Park
405,les cayes,HT,78.82,overcast clouds,18.2,-73.75,Villa Orphee
408,lata,PT,54.91,few clouds,40.1629,-8.3327,Casa Maquia
410,sao filipe,CV,74.34,clear sky,14.8961,-24.4956,Hotel Xaguate
412,kamaishi,JP,43.48,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
413,zhangye,CN,48.29,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
414,ca mau,VN,79.11,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
415,los llanos de aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
417,mackay,AU,70.68,scattered clouds,-21.15,149.2,International Lodge Motel
421,tukrah,LY,77.97,broken clouds,32.5341,20.5791,Lagrota restaurant
423,te anau,NZ,47.03,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
426,jandaia do sul,BR,79.45,few clouds,-23.6031,-51.6433,Hotel Jandaia do Sul
428,moorhead,US,42.98,clear sky,46.8739,-96.7676,"Courtyard by Marriott Fargo Moorhead, MN"
429,bud,US,71.02,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
430,samfya,ZM,66.18,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
431,neon karlovasion,GR,65.91,overcast clouds,37.7903,26.7044,Hotel Aegeon
432,kannur,IN,77.99,overcast clouds,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
433,ouesso,CG,76.71,overcast clouds,1.6136,16.0517,ABENIE Hotel
434,haines junction,CA,40.95,overcast clouds,60.7522,-137.5108,Parkside Inn
435,manono,CD,71.1,overcast clouds,-7.3,27.4167,Hotel hewa bora
436,baglung,NP,64.63,overcast clouds,28.2719,83.5898,Hotel Peace Palace
438,baturaja,ID,73.69,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
440,lincoln,US,67.28,scattered clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
441,forestville,US,58.15,broken clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
444,poco verde,BR,75.9,overcast clouds,-10.7083,-38.1833,Hotel Santa Cruz
446,zdvinsk,RU,48.79,overcast clouds,54.7021,78.661,Hotel Siberia
447,mrirt,RU,48.79,overcast clouds,54.7021,78.661,Hotel Siberia
449,lamu,KE,79.74,light rain,-2.2717,40.902,Lamu House
451,monticello,US,47.86,light rain,45.3055,-93.7941,Super 8 by Wyndham Monticello
453,narsaq,GL,44.06,few clouds,60.9167,-46.05,Sleep In Narsaq
455,katsuura,JP,54.14,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
456,xucheng,CN,62.24,overcast clouds,20.35,110.1288,Haixing Hotel
458,wajir,KE,77.54,light rain,1.7471,40.0573,Al-bustan Hotel And Restaurant.
460,mocuba,MZ,65.25,clear sky,-16.8392,36.9856,Phama Lodge
461,bandarawela,LK,64.06,overcast clouds,6.8305,80.9888,Bandarawela Hotel
462,toamasina,MG,73.4,few clouds,-18.1667,49.3833,Hotel H1
465,dicabisagan,PH,77.36,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
467,ponta do sol,PT,67.12,clear sky,32.6667,-17.1,Hotel do Campo
468,surt,LY,66.47,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
469,kaitangata,NZ,47.66,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
475,sistranda,NO,44.56,overcast clouds,63.7256,8.834,Hotell Frøya
476,rawson,AR,53.04,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
477,naerbo,NO,46.81,broken clouds,58.6667,5.65,Stolpabua
481,develi,TR,49.35,broken clouds,38.3906,35.4922,DEVELİ TEACHER AND ASO
482,mao,ES,61.36,clear sky,39.8885,4.2658,ARTIEM Capri
485,harnosand,SE,46.42,light rain,62.6323,17.9379,First Hotel Stadt
486,abu kamal,SY,73.08,clear sky,34.4506,40.9171,البوكمال
487,panzhihua,CN,53.64,light rain,26.5851,101.7128,Electric Power Hotel
490,antofagasta,CL,61.88,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
491,benavente,ES,56.48,overcast clouds,42.0025,-5.6783,Parador de Benavente
492,marsh harbour,BS,75.83,few clouds,26.5412,-77.0636,Abaco Beach Resort
493,ovre ardal,NO,43.68,overcast clouds,61.3167,7.8,Sitla Motel & Apartment
497,awbari,LY,72.21,clear sky,26.5921,12.7805,فندق أوباري
500,terrasini,IT,60.37,clear sky,38.146,13.0844,Florio Park Hotel
504,igboho,NG,71.82,moderate rain,8.8333,3.75,More Hotet LTD
506,sao bernardo,BR,79.5,broken clouds,-3.3614,-42.4178,Hotel Prado
508,maragogi,BR,78.42,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
509,pishin,PK,76.93,broken clouds,30.5803,66.9961,City Hotel Pishin
510,alotau,PK,76.93,broken clouds,30.5803,66.9961,City Hotel Pishin
511,bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
512,miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
514,ginir,ET,59.23,overcast clouds,7.1333,40.7,Sura Dare Village
517,college,US,54.59,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
518,vila franca do campo,PT,64.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
519,digboi,IN,68.34,overcast clouds,27.3833,95.6333,NAMDANG HOUSE
522,yeppoon,AU,65.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
524,paldiski,EE,41.25,clear sky,59.3567,24.0531,Pakri Hostel
527,scarborough,GB,53.91,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
529,rio claro,BR,76.59,broken clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
530,rafraf,TN,62.91,few clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
531,marawi,PH,70.0,overcast clouds,7.9986,124.2928,Derogongan Residence
532,mount isa,AU,69.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
533,adolfo lopez mateos,MX,79.93,scattered clouds,28.4667,-107.3,Hotel Victor Inn
537,shenjiamen,CN,55.47,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
539,erdemli,TR,71.19,clear sky,36.605,34.3084,Sun Rice Otel
540,hervey bay,AU,67.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
541,lerwick,GB,46.4,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
543,arcachon,FR,61.41,clear sky,44.5875,-1.0519,Hôtel All Suites Le Teich
547,comodoro rivadavia,AR,46.99,light rain,-45.8667,-67.5,Austral Hotel
548,omboue,GA,78.98,light rain,-1.5746,9.2618,Hotel Olako
550,ajaccio,FR,55.38,few clouds,42.0,8.9167,Sole E Monte
552,chimbote,PE,69.44,broken clouds,-9.0853,-78.5783,Hotel Briliá
553,wakefield,GB,55.24,overcast clouds,53.6809,-1.499,Hotel Restaurant Campanile Wakefield
554,severnyy,RU,44.64,clear sky,50.677,36.5532,Full House North Mini-Hotel
555,oga,IT,41.54,overcast clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
