City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,kilindoni,TZ,2022-05-01 19:57:56,-7.9139,39.6668,82.09,72,94,18.07,overcast clouds
179,cayenne,GF,2022-05-01 19:57:56,4.9333,-52.3333,86.04,16,40,10.36,scattered clouds
180,bikaner,IN,2022-05-01 19:57:47,28.0167,73.3,93.85,21,14,20.89,few clouds
181,arraial do cabo,BR,2022-05-01 19:57:57,-22.9661,-42.0278,84.16,74,0,10.36,clear sky
182,kepno,PL,2022-05-01 19:57:57,51.2784,17.9891,51.58,65,85,0.69,overcast clouds
183,jamestown,US,2022-05-01 19:57:58,42.097,-79.2353,53.71,100,100,13.8,overcast clouds
184,pucallpa,PE,2022-05-01 19:57:58,-8.3791,-74.5539,86.04,66,75,10.36,broken clouds
185,kirakira,SB,2022-05-01 19:57:59,-10.4544,161.9205,79.56,84,100,6.89,moderate rain
186,lebu,CL,2022-05-01 19:57:59,-37.6167,-73.65,54.95,80,39,14.65,scattered clouds
187,honiara,SB,2022-05-01 19:57:59,-9.4333,159.95,78.39,86,100,0.67,moderate rain
188,north bend,US,2022-05-01 19:53:43,43.4065,-124.2243,65.25,80,0,8.05,clear sky
189,lucea,JM,2022-05-01 19:58:00,18.451,-78.1736,84.85,79,40,16.91,scattered clouds
190,sentyabrskiy,JM,2022-05-01 19:58:00,18.451,-78.1736,84.85,79,40,16.91,scattered clouds
191,louisbourg,JM,2022-05-01 19:58:00,18.451,-78.1736,84.85,79,40,16.91,scattered clouds
192,yining,CN,2022-05-01 19:58:00,29.0361,114.5636,52.63,87,100,0.58,overcast clouds
193,kiruna,SE,2022-05-01 19:58:01,67.8557,20.2251,34.72,80,100,16.11,overcast clouds
194,vardo,NO,2022-05-01 19:49:29,70.3705,31.1107,17.58,86,20,4.61,few clouds
195,kinston,US,2022-05-01 19:58:01,35.2627,-77.5816,85.15,37,68,10.13,broken clouds
196,nikolskoye,RU,2022-05-01 19:58:02,59.7035,30.7861,42.69,86,49,4.65,scattered clouds
197,jalpan,MX,2022-05-01 19:58:02,21.2333,-99.4833,92.17,39,16,7.99,few clouds
198,praia da vitoria,PT,2022-05-01 19:58:03,38.7333,-27.0667,64.76,82,75,2.19,broken clouds
199,urdzhar,PT,2022-05-01 19:58:03,38.7333,-27.0667,64.76,82,75,2.19,broken clouds
200,aklavik,CA,2022-05-01 19:49:12,68.2191,-135.0107,44.6,53,40,8.05,scattered clouds
201,geraldton,AU,2022-05-01 19:48:07,-28.7667,114.6,54.01,82,0,4.61,clear sky
202,biharamulo,TZ,2022-05-01 19:58:03,-2.6319,31.3089,61.39,95,99,3.51,overcast clouds
203,barbar,TZ,2022-05-01 19:58:03,-2.6319,31.3089,61.39,95,99,3.51,overcast clouds
204,wuhu,CN,2022-05-01 19:58:04,31.3366,118.3755,53.8,85,95,6.49,overcast clouds
